"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","responses","num_errors","age","subject","participantId","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","value","sub","trial","stimulus","robot","valence","action","sham","browser_interactions"
"pavlovia","0","6","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","62252","0.0-1.0","battery-v0.2","true","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","2","66036","0.0-2.0-0.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":3781}]","3781","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","3","68024","0.0-2.0-1.0-0.0","battery-v0.2","","","1987","[""shark""]","0","19","896","286","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","4","69270","0.0-2.0-1.0-1.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":1244}]","1244","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","5","70829","0.0-2.0-2.0-0.0","battery-v0.2","","","1557","[""tiger""]","0","19","896","286","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","6","71448","0.0-2.0-2.0-1.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":617}]","617","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","7","169133","0.0-2.0-3.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":9240},{""page_index"":1,""viewing_time"":5958},{""page_index"":2,""viewing_time"":6736},{""page_index"":3,""viewing_time"":5667},{""page_index"":4,""viewing_time"":6205},{""page_index"":5,""viewing_time"":5694},{""page_index"":6,""viewing_time"":6978},{""page_index"":7,""viewing_time"":9042},{""page_index"":8,""viewing_time"":6389},{""page_index"":9,""viewing_time"":8539},{""page_index"":10,""viewing_time"":7563},{""page_index"":11,""viewing_time"":8335},{""page_index"":12,""viewing_time"":6247},{""page_index"":13,""viewing_time"":5089}]","97682","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","8","172525","0.0-2.0-4.0-0.0","battery-v0.2","","","520","","","19","896","286","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1384]","1","0","0","","","","","","","","",""
"pit-trial","9","175927","0.0-2.0-4.1-0.1","battery-v0.2","","","534","","","19","896","286","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1400]","1","0","0","","","","","","","","",""
"pit-trial","10","179204","0.0-2.0-4.2-0.2","battery-v0.2","","","415","","","19","896","286","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1271]","1","0","0","","","","","","","","",""
"pit-trial","11","182510","0.0-2.0-4.3-0.3","battery-v0.2","","","439","","","19","896","286","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1300]","1","0","0","","","","","","","","",""
"pit-trial","12","185835","0.0-2.0-4.4-0.4","battery-v0.2","","","462","","","19","896","286","&#9784;","elianto","#FFFFF080"," "," ","1","&#10004","[1317]","1","0","0","","","","","","","","",""
"pit-instructions","13","206798","0.0-2.0-5.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":4904},{""page_index"":1,""viewing_time"":5187},{""page_index"":2,""viewing_time"":4604},{""page_index"":3,""viewing_time"":6267}]","20962","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","14","211664","0.0-2.0-6.0-0.0","battery-v0.2","","","-1","","","19","896","286","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1","","","","","","","","",""
"pit-trial","15","216529","0.0-2.0-6.1-0.1","battery-v0.2","","","-1","","","19","896","286","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1","","","","","","","","",""
"pit-trial","16","221409","0.0-2.0-6.2-0.2","battery-v0.2","","","-1","","","19","896","286","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1","","","","","","","","",""
"pit-trial","17","226275","0.0-2.0-6.3-0.3","battery-v0.2","","","-1","","","19","896","286","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1","","","","","","","","",""
"pit-trial","18","231141","0.0-2.0-6.4-0.4","battery-v0.2","","","-1","","","19","896","286","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","[]","0","0","1","","","","","","","","",""
"pit-instructions","19","352824","0.0-2.0-7.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":9342},{""page_index"":1,""viewing_time"":7620},{""page_index"":2,""viewing_time"":6039},{""page_index"":3,""viewing_time"":6795},{""page_index"":4,""viewing_time"":5340},{""page_index"":5,""viewing_time"":5692},{""page_index"":6,""viewing_time"":4539},{""page_index"":7,""viewing_time"":8984},{""page_index"":8,""viewing_time"":7358},{""page_index"":9,""viewing_time"":5778},{""page_index"":10,""viewing_time"":6958},{""page_index"":11,""viewing_time"":6841},{""page_index"":12,""viewing_time"":7009},{""page_index"":13,""viewing_time"":6588},{""page_index"":14,""viewing_time"":7230},{""page_index"":15,""viewing_time"":6316},{""page_index"":16,""viewing_time"":6172},{""page_index"":17,""viewing_time"":7080}]","121682","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","20","356163","0.0-2.0-8.0-0.0","battery-v0.2","","","470","","","19","896","286","&#9776;","elianto","#3366ff99"," "," ","1","+10","[1333]","1","0","1","","","","","","","","",""
