"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","interactions","blur_events","focus_events","fullscreenenter_events","fullscreenexit_events","success","rune","rune_set","hex","correct","choice","rt","accuracy","outcome","keys","total_keys","age","subject","participantId","block","practice","view_history"
"pavlovia","0","10","0.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1651""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1651""
","
","","","","","","","","","","","","","","","","",""
"fullscreen","1","2637","0.0-1.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1651""
""blur"",""2"",""6473""
","""event"",""trial"",""time""
""blur"",""2"",""6473""
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1651""
","
","true","","","","","","","","","","","","","","","",""
"pit-trial","2","7500","0.0-2.0-0.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1651""
""blur"",""2"",""6473""
","""event"",""trial"",""time""
""blur"",""2"",""6473""
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1651""
","
","","&#9776;","elianto","#3366ff99"," ","-1","-1","0","0","[]","0","999","999","999","0","1",""
"pit-trial","3","12596","0.0-2.0-0.0-1.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1651""
""blur"",""2"",""6473""
","""event"",""trial"",""time""
""blur"",""2"",""6473""
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1651""
","
","","&#9776;","elianto","#3366ff99"," ","-1","-1","0","0","[]","0","999","999","999","0","1",""
"pit-trial","4","18679","0.0-2.0-0.0-2.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1651""
""blur"",""2"",""6473""
","""event"",""trial"",""time""
""blur"",""2"",""6473""
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1651""
","
","","&#9776;","elianto","#3366ff99"," ","-1","-1","0","0","[]","0","999","999","999","0","1",""
"pit-trial","5","25396","0.0-2.0-0.0-3.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1651""
""blur"",""2"",""6473""
","""event"",""trial"",""time""
""blur"",""2"",""6473""
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1651""
","
","","&#9776;","elianto","#3366ff99"," ","-1","-1","0","+10","[]","0","999","999","999","0","1",""
"pit-trial","6","30890","0.0-2.0-0.0-4.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1651""
""blur"",""2"",""6473""
","""event"",""trial"",""time""
""blur"",""2"",""6473""
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1651""
","
","","&#9776;","elianto","#3366ff99"," ","-1","-1","0","0","[]","0","999","999","999","0","1",""
"pit-trial","7","35749","0.0-2.0-0.1-0.1","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1651""
""blur"",""2"",""6473""
","""event"",""trial"",""time""
""blur"",""2"",""6473""
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1651""
","
","","&#9776;","elianto","#3366ff99"," ","-1","-1","0","0","[]","0","999","999","999","0","1",""
"pit-trial","8","41575","0.0-2.0-0.1-1.1","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1651""
""blur"",""2"",""6473""
","""event"",""trial"",""time""
""blur"",""2"",""6473""
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1651""
","
","","&#9776;","elianto","#3366ff99"," ","-1","-1","0","0","[]","0","999","999","999","0","1",""
"pit-trial","9","47575","0.0-2.0-0.1-2.1","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1651""
""blur"",""2"",""6473""
","""event"",""trial"",""time""
""blur"",""2"",""6473""
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""1651""
","
","","&#9776;","elianto","#3366ff99"," ","-1","-1","0","0","[]","0","999","999","999","0","1",""
