"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","value","responses","num_errors","sub","trial","stimulus","robot","valence","action","sham"
"pavlovia","0","109","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","1","53910","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":2449.5349999633618},{""page_index"":1,""viewing_time"":3316.8900000164285},{""page_index"":2,""viewing_time"":4250.085000006948},{""page_index"":3,""viewing_time"":4120.684999972582},{""page_index"":4,""viewing_time"":8250.435000052676},{""page_index"":5,""viewing_time"":4897.469999967143},{""page_index"":6,""viewing_time"":5199.16000001831},{""page_index"":7,""viewing_time"":9142.720000003465},{""page_index"":8,""viewing_time"":7000.614999968093},{""page_index"":9,""viewing_time"":5166.015000024345}]","53794.97499996796","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","2","57921","0.0-1.0-1.0-0.0","battery-v0.2","","-1","1","elianto","#3366ff99","32","-1","0","+1","1461.3450000179","1","0","1","","","","","","","","","",""
"pit-trial","3","61934","0.0-1.0-1.1-0.1","battery-v0.2","","-1","1","elianto","#3366ff99","32","-1","0","+1","","0","0","1","","","","","","","","","",""
"pit-trial","4","64752","0.0-1.0-1.2-0.2","battery-v0.2","","113.08500001905486","1","elianto","#3366ff99","32","32","1","+10","1613.5099999955855","1","0","1","","","","","","","","","",""
"pit-trial","5","68759","0.0-1.0-1.3-0.3","battery-v0.2","","-1","1","elianto","#3366ff99","32","-1","0","+1","","0","0","1","","","","","","","","","",""
"pit-trial","6","72614","0.0-1.0-1.4-0.4","battery-v0.2","","1143.7949999817647","1","elianto","#3366ff99","32","32","1","+10","1462.230000004638,2644.2149999784306","2","0","1","","","","","","","","","",""
"pit-trial","7","76399","0.0-1.0-1.5-0.5","battery-v0.2","","1080.3200000082143","1","elianto","#3366ff99","32","32","1","+10","2580.5200000177138","1","0","1","","","","","","","","","",""
"pit-trial","8","79814","0.0-1.0-1.6-0.6","battery-v0.2","","705.904999980703","1","elianto","#3366ff99","32","32","1","+10","2206.2949999817647","1","0","1","","","","","","","","","",""
"call-function","9","79816","0.0-1.0-2.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","10","91504","0.0-1.0-3.0","battery-v0.2","[{""page_index"":0,""viewing_time"":7864.979999954812},{""page_index"":1,""viewing_time"":3820.5700000398792}]","11686.179999960586","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","11","95177","0.0-1.0-4.0-0.0","battery-v0.2","","962.0250000152737","2","elianto","#3366ff99","-1","32","0","+1","2464.5000000018626","1","0","2","","","","","","","","","",""
"pit-trial","12","99186","0.0-1.0-4.1-0.1","battery-v0.2","","-1","2","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","","","","","","","","","",""
"pit-trial","13","103195","0.0-1.0-4.2-0.2","battery-v0.2","","-1","2","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","","","","","","","","","",""
"pit-trial","14","107200","0.0-1.0-4.3-0.3","battery-v0.2","","-1","2","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","","","","","","","","","",""
"call-function","15","107202","0.0-1.0-5.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","16","122503","0.0-1.0-6.0","battery-v0.2","[{""page_index"":0,""viewing_time"":11910.089999961201},{""page_index"":1,""viewing_time"":3388.1900000269525}]","15298.929999989923","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","17","125998","0.0-1.0-7.0-0.0","battery-v0.2","","786.6700000013225","3","elianto","#f73b6a7A","-1","32","0","-10","2286.9700000155717","1","0","3","","","","","","","","","",""
"pit-trial","18","130009","0.0-1.0-7.1-0.1","battery-v0.2","","-1","3","elianto","#f73b6a7A","-1","-1","1","-1","","0","0","3","","","","","","","","","",""
"pit-trial","19","133947","0.0-1.0-7.2-0.2","battery-v0.2","","1230.9149999637157","3","elianto","#f73b6a7A","-1","32","0","-10","2732.175000011921","1","0","3","","","","","","","","","",""
"pit-trial","20","137961","0.0-1.0-7.3-0.3","battery-v0.2","","-1","3","elianto","#f73b6a7A","-1","-1","1","-1","","0","0","3","","","","","","","","","",""
"pit-trial","21","141975","0.0-1.0-7.4-0.4","battery-v0.2","","-1","3","elianto","#f73b6a7A","-1","-1","1","-1","","0","0","3","","","","","","","","","",""
"pit-trial","22","145987","0.0-1.0-7.5-0.5","battery-v0.2","","-1","3","elianto","#f73b6a7A","-1","-1","1","-1","","0","0","3","","","","","","","","","",""
"call-function","23","145989","0.0-1.0-8.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","24","157051","0.0-1.0-9.0","battery-v0.2","[{""page_index"":0,""viewing_time"":6810.579999990296},{""page_index"":1,""viewing_time"":4250.105000042822}]","11061.380000028294","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","25","160509","0.0-1.0-10.0-0.0","battery-v0.2","","751.4199999859557","4","elianto","#f73b6a7A","32","32","1","-1","2252.589999989141","1","0","4","","","","","","","","","",""
"pit-trial","26","164518","0.0-1.0-10.1-0.1","battery-v0.2","","-1","4","elianto","#f73b6a7A","32","-1","0","-10","1470.664999971632","1","0","4","","","","","","","","","",""
"pit-trial","27","168389","0.0-1.0-10.2-0.2","battery-v0.2","","1160.5950000230223","4","elianto","#f73b6a7A","32","32","1","-1","2661.9700000155717","1","0","4","","","","","","","","","",""
"pit-trial","28","172008","0.0-1.0-10.3-0.3","battery-v0.2","","909.574999997858","4","elianto","#f73b6a7A","32","32","1","-1","2412.1850000228733","1","0","4","","","","","","","","","",""
"pit-trial","29","175479","0.0-1.0-10.4-0.4","battery-v0.2","","764.4399999990128","4","elianto","#f73b6a7A","32","32","1","-1","2264.8300000000745","1","0","4","","","","","","","","","",""
"call-function","30","175481","0.0-1.0-11.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","31","191374","0.0-1.0-12.0","battery-v0.2","[{""page_index"":0,""viewing_time"":1442.795000039041},{""page_index"":1,""viewing_time"":5603.239999967627},{""page_index"":2,""viewing_time"":4012.425000022631},{""page_index"":3,""viewing_time"":1635.0749999983236},{""page_index"":4,""viewing_time"":1906.284999975469},{""page_index"":5,""viewing_time"":1292.1799999894574}]","15892.645000014454","","","","","","","","","","","","","","","","","","","","",""
"pit-comprehension","32","212242","0.0-1.0-13.0","battery-v0.2","","20860.635000048205","","","","","","","","","","","","","Press SPACE,+10,-1,True,True","0","","","","","","",""
"pit-instructions","33","219338","0.0-2.0","battery-v0.2","[{""page_index"":0,""viewing_time"":2862.0649999938905},{""page_index"":1,""viewing_time"":4226.825000019744}]","7089.540000015404","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","34","223213","0.0-3.0","battery-v0.2","","1164.3499999772757","H","elianto","#f73b6a7A","32","32","1","-1","2665.015000035055","1","1","","","","","246","1","3","3","lose","go","0"
"pit-trial","35","226617","0.0-4.0","battery-v0.2","","695.2250000322238","Y","elianto","#3366ff99","32","32","1","+10","2196.310000028461","1","1","","","","","246","2","2","1","win","go","0"
"pit-trial","36","230117","0.0-5.0","battery-v0.2","","793.7949999468401","R","elianto","#3366ff99","-1","32","0","+1","2296.3999999919906","1","1","","","","","246","3","1","2","win","no-go","0"
"pit-trial","37","233735","0.0-6.0","battery-v0.2","","908.8599999668077","M","elianto","#3366ff99","-1","32","0","+1","2412.4549999833107","1","1","","","","","246","4","0","2","win","no-go","0"
"pit-trial","38","237744","0.0-7.0","battery-v0.2","","-1","M","elianto","#3366ff99","-1","-1","1","+1","","0","1","","","","","246","5","0","2","win","no-go","1"
"pit-trial","39","241676","0.0-8.0","battery-v0.2","","1227.9499999713153","Y","elianto","#3366ff99","32","32","1","+10","270.1799999922514,2728.3550000283867","2","1","","","","","246","6","2","1","win","go","0"
"pit-trial","40","245690","0.0-9.0","battery-v0.2","","-1","H","elianto","#f73b6a7A","32","-1","0","-10","3046.7800000333227","1","1","","","","","246","7","3","3","lose","go","0"
"pit-trial","41","249201","0.0-10.0","battery-v0.2","","801.6150000039488","R","elianto","#3366ff99","-1","32","0","+1","2302.460000035353","1","1","","","","","246","8","1","2","win","no-go","0"
"pit-trial","42","253211","0.0-11.0","battery-v0.2","","-1","H","elianto","#f73b6a7A","32","-1","0","-10","2809.235000051558","1","1","","","","","246","9","3","3","lose","go","0"
"pit-trial","43","257220","0.0-12.0","battery-v0.2","","-1","Y","elianto","#3366ff99","32","-1","0","+1","","0","1","","","","","246","10","2","1","win","go","0"
"pit-trial","44","260657","0.0-13.0","battery-v0.2","","728.365000046324","R","elianto","#3366ff99","-1","32","0","+1","2228.9400000008754","1","1","","","","","246","11","1","2","win","no-go","0"
"pit-trial","45","264093","0.0-14.0","battery-v0.2","","730.6450000032783","M","elianto","#3366ff99","-1","32","0","+1","2230.875000008382","1","1","","","","","246","12","0","2","win","no-go","0"
