"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId","value","responses","num_errors"
"pavlovia","0","11","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","4254","0.0-1.0","battery-v0.2","true","","","","","","","","","","","","","","","","","",""
"pit-instructions","2","7006","0.0-2.0-0.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":961},{""page_index"":1,""viewing_time"":179.20000000298023},{""page_index"":2,""viewing_time"":148.89999999850988},{""page_index"":3,""viewing_time"":145.39999999850988},{""page_index"":4,""viewing_time"":136},{""page_index"":5,""viewing_time"":130},{""page_index"":6,""viewing_time"":130.90000000223517},{""page_index"":7,""viewing_time"":146},{""page_index"":8,""viewing_time"":129.09999999776483},{""page_index"":9,""viewing_time"":299},{""page_index"":10,""viewing_time"":164},{""page_index"":11,""viewing_time"":176.70000000298023}]","2746.900000002235","","","","","","","","","","","","","","","",""
"pit-trial","3","11837","0.0-2.0-1.0-0.0","battery-v0.2","","","1973.0999999977648","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","2824.400000002235","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","4","15000","0.0-2.0-1.1-0.1","battery-v0.2","","","303.69999999925494","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1156.800000000745","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","5","18050","0.0-2.0-1.2-0.2","battery-v0.2","","","193.09999999776483","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1043.800000000745","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","6","21364","0.0-2.0-1.3-0.3","battery-v0.2","","","453.70000000298023","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1304.4000000022352","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","7","24620","0.0-2.0-1.4-0.4","battery-v0.2","","","394.69999999925494","&#9784;","elianto","#FFFFF080","32","32","1","&#10004","1246.2999999970198","1","0","0","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-instructions","8","28357","0.0-2.0-2.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":3173.300000000745},{""page_index"":1,""viewing_time"":192.39999999850988},{""page_index"":2,""viewing_time"":193.60000000149012},{""page_index"":3,""viewing_time"":172.89999999850988}]","3732.699999999255","","","","","","","","","","","","","","","",""
"pit-trial","9","33218","0.0-2.0-3.0-0.0","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","10","38076","0.0-2.0-3.1-0.1","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","11","42935","0.0-2.0-3.2-0.2","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","12","47795","0.0-2.0-3.3-0.3","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","13","52654","0.0-2.0-3.4-0.4","battery-v0.2","","","-1","&#9854;","elianto","#FFFFF080","-1","-1","1","&#10004","","0","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-instructions","14","63539","0.0-2.0-4.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":9331.199999999255},{""page_index"":1,""viewing_time"":193},{""page_index"":2,""viewing_time"":122},{""page_index"":3,""viewing_time"":155.19999999925494},{""page_index"":4,""viewing_time"":155.80000000074506},{""page_index"":5,""viewing_time"":158.30000000074506},{""page_index"":6,""viewing_time"":159},{""page_index"":7,""viewing_time"":141.69999999925494},{""page_index"":8,""viewing_time"":160.19999999925494},{""page_index"":9,""viewing_time"":156.30000000074506},{""page_index"":10,""viewing_time"":146.89999999850988}]","10880.199999999255","","","","","","","","","","","","","","","",""
"pit-trial","15","67008","0.0-2.0-5.0-0.0","battery-v0.2","","","613.0999999977648","&#9776;","elianto","#3366ff99","32","32","1","+10","1463.5","1","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","16","70148","0.0-2.0-5.0-1.0","battery-v0.2","","","282","&#9776;","elianto","#3366ff99","32","32","1","+10","1132.300000000745","1","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","17","73494","0.0-2.0-5.0-2.0","battery-v0.2","","","485.3999999985099","&#9776;","elianto","#3366ff99","32","32","1","+10","1338.5","1","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","18","76775","0.0-2.0-5.0-3.0","battery-v0.2","","","419.9000000022352","&#9776;","elianto","#3366ff99","32","32","1","0","1272.199999999255","1","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","19","79757","0.0-2.0-5.0-4.0","battery-v0.2","","","126.5","&#9776;","elianto","#3366ff99","32","32","1","+10","976.6999999992549","1","0","1","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"call-function","20","79760","0.0-2.0-6.0","battery-v0.2","","","","","","","","","","","","","","","","","","",""
"pit-instructions","21","82063","0.0-2.0-7.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":1799.300000000745},{""page_index"":1,""viewing_time"":173.29999999701977},{""page_index"":2,""viewing_time"":172.90000000223517},{""page_index"":3,""viewing_time"":155.59999999776483}]","2301.89999999851","","","","","","","","","","","","","","","",""
"pit-trial","22","86920","0.0-2.0-8.0-0.0","battery-v0.2","","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","23","91777","0.0-2.0-8.0-1.0","battery-v0.2","","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","24","96637","0.0-2.0-8.0-2.0","battery-v0.2","","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","25","101500","0.0-2.0-8.0-3.0","battery-v0.2","","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","0","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"pit-trial","26","106364","0.0-2.0-8.0-4.0","battery-v0.2","","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","4ee95e0e8737a0304baac70a&order=1&STUDY_ID=61caf85b4892b889f6411591","999","","",""
"call-function","27","106367","0.0-2.0-9.0","battery-v0.2","","","","","","","","","","","","","","","","","","",""
"pit-instructions","28","121322","0.0-2.0-10.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":14742.29999999702},{""page_index"":1,""viewing_time"":211.40000000223517}]","14954.5","","","","","","","","","","","","","","","",""
