"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","interactions","blur_events","focus_events","fullscreenenter_events","fullscreenexit_events","success","view_history","rt","responses","num_errors","age","subject","participantId","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","value"
"pavlovia","0","13","0.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2045""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2045""
","
","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","3041","0.0-1.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2045""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2045""
","
","true","","","","","","","","","","","","","","","","","","",""
"pit-instructions","2","7112","0.0-2.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2045""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2045""
","
","","[{""page_index"":0,""viewing_time"":4066}]","4066.9000000059605","","","","","","","","","","","","","","","","",""
"pit-comprehension","3","10761","0.0-2.0-1.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2045""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2045""
","
","","","3645.300000011921","[""fish""]","1","999","999","999","","","","","","","","","","","",""
"pit-instructions","4","11803","0.0-2.0-1.0-1.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2045""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2045""
","
","","[{""page_index"":0,""viewing_time"":1035.0999999940395}]","1035.3999999761581","","","","","","","","","","","","","","","","",""
"pit-instructions","5","12598","0.0-2.0-1.0-2.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2045""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2045""
","
","","[{""page_index"":0,""viewing_time"":793.5999999940395}]","793.8000000119209","","","","","","","","","","","","","","","","",""
"pit-comprehension","6","15553","0.0-2.0-1.1-0.1","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2045""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2045""
","
","","","2951.7000000178814","[""shark""]","0","999","999","999","","","","","","","","","","","",""
"pit-instructions","7","16524","0.0-2.0-1.1-1.1","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2045""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2045""
","
","","[{""page_index"":0,""viewing_time"":967.6000000238419}]","968.1000000238419","","","","","","","","","","","","","","","","",""
"pit-comprehension","8","19194","0.0-2.0-2.0-0.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2045""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2045""
","
","","","2666.300000011921","[""tiger""]","0","999","999","999","","","","","","","","","","","",""
"pit-instructions","9","20027","0.0-2.0-2.0-1.0","battery-v0.2","","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2045""
""blur"",""10"",""40960""
""focus"",""10"",""45229""
""blur"",""10"",""60471""
""focus"",""10"",""72154""
","""event"",""trial"",""time""
""blur"",""10"",""40960""
""blur"",""10"",""60471""
","""event"",""trial"",""time""
""focus"",""10"",""45229""
""focus"",""10"",""72154""
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2045""
","
","","[{""page_index"":0,""viewing_time"":828.8000000119209}]","829.3000000119209","","","","","","","","","","","","","","","","",""
