"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","value","responses","num_errors","sub","trial","stimulus","robot","valence","action","sham"
"pavlovia","0","27","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","1","51211","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":2280.1549999858253},{""page_index"":1,""viewing_time"":4312.1549999923445},{""page_index"":2,""viewing_time"":3869.2600000067614},{""page_index"":3,""viewing_time"":4510.409999988042},{""page_index"":4,""viewing_time"":1675.4800000344403},{""page_index"":3,""viewing_time"":1246.0399999981746},{""page_index"":4,""viewing_time"":4293.015000002924},{""page_index"":5,""viewing_time"":2264.649999968242},{""page_index"":6,""viewing_time"":4506.455000024289},{""page_index"":7,""viewing_time"":12620.31999998726},{""page_index"":8,""viewing_time"":5695.44500001939},{""page_index"":9,""viewing_time"":3905.7749999919906}]","51181.30499997642","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","2","55234","0.0-1.0-1.0-0.0","battery-v0.2","","-1","1","elianto","#3366ff99","32","-1","0","+1","","0","0","1","","","","","","","","","",""
"pit-trial","3","59254","0.0-1.0-1.1-0.1","battery-v0.2","","-1","1","elianto","#3366ff99","32","-1","0","+1","","0","0","1","","","","","","","","","",""
"pit-trial","4","63275","0.0-1.0-1.2-0.2","battery-v0.2","","-1","1","elianto","#3366ff99","32","-1","0","+1","","0","0","1","","","","","","","","","",""
"pit-trial","5","67287","0.0-1.0-1.3-0.3","battery-v0.2","","-1","1","elianto","#3366ff99","32","-1","0","+1","","0","0","1","","","","","","","","","",""
"pit-trial","6","71301","0.0-1.0-1.4-0.4","battery-v0.2","","-1","1","elianto","#3366ff99","32","-1","0","+1","","0","0","1","","","","","","","","","",""
"pit-trial","7","74207","0.0-1.0-1.5-0.5","battery-v0.2","","201.28999999724329","1","elianto","#3366ff99","32","32","1","+10","1701.7549999873154","1","0","1","","","","","","","","","",""
"pit-trial","8","77231","0.0-1.0-1.6-0.6","battery-v0.2","","311.8300000205636","1","elianto","#3366ff99","32","32","1","+10","1815.4600000125356","1","0","1","","","","","","","","","",""
"pit-trial","9","80229","0.0-1.0-1.7-0.7","battery-v0.2","","280.61000001616776","1","elianto","#3366ff99","32","32","1","+10","1785.0949999992736","1","0","1","","","","","","","","","",""
"call-function","10","80230","0.0-1.0-2.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","11","90588","0.0-1.0-3.0","battery-v0.2","[{""page_index"":0,""viewing_time"":7297.355000046082},{""page_index"":1,""viewing_time"":3059.1549999662675}]","10357.085000025108","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","12","93589","0.0-1.0-4.0-0.0","battery-v0.2","","294.919999956619","2","elianto","#3366ff99","-1","32","0","+1","1796.7000000062399","1","0","2","","","","","","","","","",""
"pit-trial","13","97614","0.0-1.0-4.1-0.1","battery-v0.2","","-1","2","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","","","","","","","","","",""
"pit-trial","14","101634","0.0-1.0-4.2-0.2","battery-v0.2","","-1","2","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","","","","","","","","","",""
"pit-trial","15","105655","0.0-1.0-4.3-0.3","battery-v0.2","","-1","2","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","","","","","","","","","",""
"call-function","16","105658","0.0-1.0-5.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","17","114373","0.0-1.0-6.0","battery-v0.2","[{""page_index"":0,""viewing_time"":6629.0850000223145},{""page_index"":1,""viewing_time"":2084.3499999609776}]","8714.020000013988","","","","","","","","","","","","","","","","","","","","",""
