"trial_type","trial_index","time_elapsed","internal_node_id","task_version","rune","rune_set","hex","correct","choice","rt","accuracy","outcome","keys","total_keys","sub","block","trial","stimulus","robot","valence","action","sham"
"pavlovia","0","6","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","","",""
"pit-trial","1","4863","0.0-1.0","battery-v0.2","&#9752;","elianto","#f73b6a7A","32","-1","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","1","1","3","3","lose","go","0"
"pit-trial","2","9722","0.0-2.0","battery-v0.2","&#9730;","elianto","#3366ff99","32","-1","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","1","2","1","1","win","go","0"
"pit-trial","3","14579","0.0-3.0","battery-v0.2","&#9733;","elianto","#3366ff99","-1","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","1","3","2","2","win","no-go","1"
"pit-trial","4","19437","0.0-4.0","battery-v0.2","&#9728;","elianto","#f73b6a7A","-1","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","1","4","0","4","lose","no-go","0"
"pit-trial","5","24297","0.0-5.0","battery-v0.2","&#9730;","elianto","#3366ff99","32","-1","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","1","5","1","1","win","go","0"
"pit-trial","6","29156","0.0-6.0","battery-v0.2","&#9752;","elianto","#f73b6a7A","32","-1","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","1","6","3","3","lose","go","0"
"pit-trial","7","34008","0.0-7.0","battery-v0.2","&#9733;","elianto","#3366ff99","-1","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","1","7","2","2","win","no-go","0"
"pit-trial","8","38862","0.0-8.0","battery-v0.2","&#9728;","elianto","#f73b6a7A","-1","-1","-1","1","-10","[]","0","3&age=8&participant_ID=5&order=1","1","8","0","4","lose","no-go","1"
"pit-trial","9","43716","0.0-9.0","battery-v0.2","&#9752;","elianto","#f73b6a7A","32","-1","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","1","9","3","3","lose","go","0"
"pit-trial","10","48577","0.0-10.0","battery-v0.2","&#9730;","elianto","#3366ff99","32","-1","-1","0","+10","[]","0","3&age=8&participant_ID=5&order=1","1","10","1","1","win","go","1"
"pit-trial","11","53430","0.0-11.0","battery-v0.2","&#9728;","elianto","#f73b6a7A","-1","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","1","11","0","4","lose","no-go","0"
"pit-trial","12","58288","0.0-12.0","battery-v0.2","&#9733;","elianto","#3366ff99","-1","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","1","12","2","2","win","no-go","0"
"pit-trial","13","63145","0.0-13.0","battery-v0.2","&#9752;","elianto","#f73b6a7A","32","-1","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","1","13","3","3","lose","go","1"
"pit-trial","14","67998","0.0-14.0","battery-v0.2","&#9730;","elianto","#3366ff99","32","-1","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","1","14","1","1","win","go","0"
"pit-trial","15","72851","0.0-15.0","battery-v0.2","&#9733;","elianto","#3366ff99","-1","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","1","15","2","2","win","no-go","1"
"pit-trial","16","77708","0.0-16.0","battery-v0.2","&#9728;","elianto","#f73b6a7A","-1","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","1","16","0","4","lose","no-go","0"
"pit-trial","17","82566","0.0-17.0","battery-v0.2","&#9752;","elianto","#f73b6a7A","32","-1","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","1","17","3","3","lose","go","0"
"pit-trial","18","87420","0.0-18.0","battery-v0.2","&#9728;","elianto","#f73b6a7A","-1","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","1","18","0","4","lose","no-go","0"
"pit-trial","19","92273","0.0-19.0","battery-v0.2","&#9730;","elianto","#3366ff99","32","-1","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","1","19","1","1","win","go","0"
"pit-trial","20","97133","0.0-20.0","battery-v0.2","&#9733;","elianto","#3366ff99","-1","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","1","20","2","2","win","no-go","0"
"pit-trial","21","101990","0.0-21.0","battery-v0.2","r","elianto","#f73b6a7A","32","-1","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","2","21","1","3","lose","go","0"
"pit-trial","22","106850","0.0-22.0","battery-v0.2","y","elianto","#f73b6a7A","-1","-1","-1","1","-10","[]","0","3&age=8&participant_ID=5&order=1","2","22","2","4","lose","no-go","1"
"pit-trial","23","111709","0.0-23.0","battery-v0.2","m","elianto","#3366ff99","-1","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","23","0","2","win","no-go","0"
"pit-trial","24","116563","0.0-24.0","battery-v0.2","h","elianto","#3366ff99","32","-1","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","24","3","1","win","go","0"
"pit-trial","25","121416","0.0-25.0","battery-v0.2","y","elianto","#f73b6a7A","-1","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","2","25","2","4","lose","no-go","0"
"pit-trial","26","126269","0.0-26.0","battery-v0.2","r","elianto","#f73b6a7A","32","-1","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","26","1","3","lose","go","1"
"pit-trial","27","131127","0.0-27.0","battery-v0.2","h","elianto","#3366ff99","32","-1","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","27","3","1","win","go","0"
"pit-trial","28","135982","0.0-28.0","battery-v0.2","m","elianto","#3366ff99","-1","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","28","0","2","win","no-go","0"
"pit-trial","29","140833","0.0-29.0","battery-v0.2","h","elianto","#3366ff99","32","-1","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","29","3","1","win","go","0"
"pit-trial","30","145694","0.0-30.0","battery-v0.2","y","elianto","#f73b6a7A","-1","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","2","30","2","4","lose","no-go","0"
"pit-trial","31","150552","0.0-31.0","battery-v0.2","r","elianto","#f73b6a7A","32","-1","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","31","1","3","lose","go","1"
"pit-trial","32","155413","0.0-32.0","battery-v0.2","m","elianto","#3366ff99","-1","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","32","0","2","win","no-go","0"
"pit-trial","33","160272","0.0-33.0","battery-v0.2","m","elianto","#3366ff99","-1","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","33","0","2","win","no-go","0"
"pit-trial","34","165125","0.0-34.0","battery-v0.2","y","elianto","#f73b6a7A","-1","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","2","34","2","4","lose","no-go","0"
"pit-trial","35","169982","0.0-35.0","battery-v0.2","h","elianto","#3366ff99","32","-1","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","35","3","1","win","go","0"
"pit-trial","36","174840","0.0-36.0","battery-v0.2","r","elianto","#f73b6a7A","32","-1","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","2","36","1","3","lose","go","0"
"pit-trial","37","179693","0.0-37.0","battery-v0.2","y","elianto","#f73b6a7A","-1","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","2","37","2","4","lose","no-go","0"
"pit-trial","38","184547","0.0-38.0","battery-v0.2","r","elianto","#f73b6a7A","32","-1","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","2","38","1","3","lose","go","0"
"pit-trial","39","189404","0.0-39.0","battery-v0.2","m","elianto","#3366ff99","-1","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","39","0","2","win","no-go","0"
"pit-trial","40","194261","0.0-40.0","battery-v0.2","h","elianto","#3366ff99","32","-1","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","40","3","1","win","go","0"
"pit-trial","41","199120","0.0-41.0","battery-v0.2","m","elianto","#3366ff99","-1","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","41","0","2","win","no-go","0"
"pit-trial","42","203977","0.0-42.0","battery-v0.2","y","elianto","#f73b6a7A","-1","-1","-1","1","-10","[]","0","3&age=8&participant_ID=5&order=1","2","42","2","4","lose","no-go","1"
"pit-trial","43","208834","0.0-43.0","battery-v0.2","h","elianto","#3366ff99","32","-1","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","43","3","1","win","go","0"
